author,rating,date,text,source_url
,10.0,Ocena dodana: 25 marca 2026,Pulizia e gentilezza,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 23 marca 2026,"Camera ben pulita. Posizione perfetta, non nella piazza principale ma a qualche minuto a piedi dal centro. zona tranquilla e abbastanza sicura.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,8.0,Ocena dodana: 21 marca 2026,Su ubicacion Las parades parecen finas y se escucha a la gente de al lado y arriba cuando hablan o suben un poco de tono. Puede llegar a ser molesto si es a altas horas de la noche,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,8.0,Ocena dodana: 18 marca 2026,Ottimo rapporto qualità prezzo Consiglio di mettere una tenda che nn faccia entrare luce all’interno dell’appartamento,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 3 marca 2026,"Чудесно местоположение,прекрасни условия,всичко е ново и добре поддържано,топло,уютно,комфортно,горещо препоръчвам,ще се върнем с удоволствие, сърдечно благодарим,нямаме никакви забележки относно престоят,желаем всичко добро и до нови срещи! Всичко е о.к,без забележки",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 2 marca 2026,"АБСОЛЮТНО ВСИЧКО!!! Няма нещо, което да не ви допадне!",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,9.0,Ocena dodana: 3 lutego 2026,posizione perfetta comodissima tutto perfetto,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,9.0,Ocena dodana: 8 stycznia 2026,"Όλα ήταν μια χαρά, λιγο δυσκολευτηκαμε με τη ρύθμιση του νερού που δεν ξέραμε τι να κάνουμε για να έχουμε συνεχεια ζεστό νερό. Ίσως χρειάζεται να αλλάξουν ποιοτικά τα amenities.. Ο καφές 2 σε 1 δεν ήταν της προτίμησης μας κ το σαπούνι στο μπάνιο δεν ήταν καλό. (Πάρτε δικό σας.) Επίσης αν θέλετε πλήρης ησυχία, δεν ειναι για σας λόγω του δωματίου δίπλα που ειναι με γυψοσανιδα. (Εμάς δε μας ενόχλησε)",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,9.0,Ocena dodana: 5 stycznia 2026,"la posizione è perfetta, a 10min dalla piazza principale, dal castello e dalla fermata del bus da/per l'aeroporto. Ci sono diversi supermercati aperti, uno veramente ben fornito, posti interessanti per una pausa. L'appartamento è carino e rilassante, e ho apprezzato moltissimo che - caso più unico che raro - pentole e padelle antiaderenti fossero nuove. Dovrebbe essere sempre così. Infine: ho dovuto fare un po' di domande e Julia mi ha risposto all'istante anche il 31 dicembre pomeriggio. Ritornerei. Ci sono solo 2 sedie nell'appartamento, e noi eravamo in 3. Niente di grave, ma può essere scomodo. Inoltre non sono mai riuscita a far funzionare il wifi. Anche qui, niente di grave perchè avevo dei Gb sufficienti all'estero, ma potenzialmente può essere un problema. l'ultimo giorno però mi sembra di aver visto che il wifi dietro la porta fosse staccato, quindi può essere quello il problema. Sono cose facilmente risolvibili, la casa è carina e il palazzo pure, e la zona ottima.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,9.0,Ocena dodana: 4 stycznia 2026,"La posizione, la grandezza dell'appartamento Acqua della doccia non calda",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
